"","WORD GAZE DURATION","WORD FIRST FIXATION DURATION","WORD TOTAL READING TIME","WORD SKIP"
"Base",0.371109030445364,0.242781055528088,0.347485666422042,0.344594334878738
"GPT2_Surprisal",0.388782776509713,0.249493388564137,0.379344101721096,0.344706415414584
"GPT2XL_Surprisal",0.391464951626191,0.250996614990548,0.383538192451789,0.344735348171173
"CTRL_Surprisal",0.382558519895601,0.247448124018696,0.36802806991602,0.344712210951029
"TXL_Surprisal",0.381710989167073,0.258099547159342,0.359884411981623,0.349292921901126
